0,2,客户,您好广白客气。,neutral,pessimistic angry,pessimistic,pessimistic
1,3,客服,嗯你好，我那个我是之前那个因为是双11买的那个净水器，然后延迟发货了，,neutral,neutral,neutral,neutral
2,3,客服,就是那天我点了好几次那个提醒发货好像没反应，我就说问一下。,neutral,neutral,neutral,neutral
3,2,客户,噢那您有联系客服吗？女士啊？,happy,neutral,optimistic,optimistic
4,2,客户,噢好的，如果说有今天联系的话，正常24小时之内会给您发就那个提醒，发货是没有用的，因为好多客户会误判，,neutral,neutral,neutral,optimistic
5,2,客户,所以后续的话我们就不看了一个了，这样子您直接跟客服说一下就可以。,neutral,neutral,neutral,optimistic
6,3,客服,噢是这样是吧？,neutral,neutral,neutral,neutral
7,2,客户,嗯那你们那个发货以后是。,neutral,neutral,neutral,neutral
8,3,客服,是到时候那个有售呃有人安装的。吧,neutral,neutral,neutral,neutral
9,2,客户,噢对有人安装的，基本上您收到后的1~3天内就会打电话给您的，跟您确认一下具体的安装时间这样子。,neutral,neutral,neutral,neutral
10,3,客服,嗯好的嗯好的。,neutral,neutral,neutral,neutral
11,2,客户,谢谢嗯好好，那您有什么问题跟我们联系。,neutral,neutral,neutral,neutral
12,3,客服,啊嗯好谢谢，好拜拜嗯，好好再见。,neutral,optimistic thankful,optimistic,optimistic
13,2,客户,啊,neutral,neutral,neutral,neutral
