0,2,客户,请稍后要过脉。,happy,neutral,optimistic,optimistic
1,2,客户,呃了。,neutral,neutral,neutral,optimistic
2,3,客服,当前坐席忙继续等待。,neutral,neutral,neutral,neutral
3,3,客服,键当前坐席忙。,neutral,neutral,neutral,neutral
4,3,客服,键当前坐席忙。,neutral,neutral,neutral,neutral
5,3,客服,键当前坐席忙。,neutral,neutral,neutral,neutral
6,2,客户,嗯,neutral,neutral,neutral,neutral
7,3,客服,当前坐席忙。,neutral,neutral,neutral,neutral
8,3,客服,当前坐席忙继续等待。,neutral,neutral,neutral,neutral
9,3,客服,呃当前坐席。,neutral,neutral,neutral,neutral
10,3,客服,当前坐席忙。,neutral,neutral,neutral,neutral
